;filename;len_in_sec;sr;num_hops;OVRL_raw;SIG_raw;BAK_raw;OVRL;SIG;BAK;P808_MOS
1053;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f10_script2_ipad_office1_voicefixer.wav;181.037625;16000;172;3.5880733;3.8211727;4.308351;3.1748731365229443;3.4415207943218276;4.089793402213453;3.8528423
1054;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f10_script3_iphone_bedroom1_voicefixer.wav;175.2248125;16000;166;3.628551;3.8217382;4.3735375;3.1994441626608014;3.44058201987138;4.120527213495329;3.7390852
1055;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f3_script4_ipad_confroom2_voicefixer.wav;146.7255;16000;137;3.7321584;3.9616618;4.3387694;3.264084632757306;3.5215375530282023;4.103183004305499;3.7696338
1056;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m10_script5_iphone_balcony1_voicefixer.wav;194.24425;16000;185;3.320167;3.5197196;4.2797537;3.000226696329441;3.257379644829135;4.077139380960607;3.7881942
1057;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f2_script4_ipad_office2_voicefixer.wav;136.7265;16000;127;3.3308678;3.7226794;3.8669534;3.004808802936517;3.381218095633306;3.8407227357299893;3.9060962
1058;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m9_script2_ipad_office1_voicefixer.wav;147.85025;16000;138;3.1745024;3.4376054;4.036095;2.90004494638839;3.2044950003467876;3.9423045058973147;3.811005
1059;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m2_script1_ipad_office1_voicefixer.wav;165.1748125;16000;156;3.4180882;3.7200873;4.0558376;3.064073774878529;3.3823215312307924;3.9482945217531746;3.8063245
1060;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m1_script2_ipad_balcony1_voicefixer.wav;163.19425;16000;154;3.4767952;3.7208707;4.1889963;3.1032170304992577;3.3820072558094134;4.0284991357785245;3.8091161
1061;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f7_script3_ipad_bedroom1_voicefixer.wav;178.778375;16000;169;3.389512;3.6624937;4.07368;3.045595273345371;3.3452539863940545;3.969271379532591;3.5515022
1062;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f6_script5_ipad_livingroom1_voicefixer.wav;138.796;16000;129;3.3475568;3.6538286;4.059785;3.0162981287166524;3.3400393856543102;3.954967634391389;3.843929
1063;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f2_script5_iphone_livingroom1_voicefixer.wav;157.7105;16000;148;3.35907;3.6264136;4.1017165;3.022838587403179;3.3206367445726785;3.9810123910752715;3.7503116
1064;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/m4_script3_ipadflat_office1_voicefixer.wav;165.59175;16000;156;3.6638913;3.8847015;4.3292804;3.2221535354493738;3.477492576776489;4.099375703881388;3.9443576
1065;/Users/marius/Documents/Uni/TU_Berlin_Master/Masterarbeit/Data/allFiles/voicefixerOutput/f3_script2_iphone_bedroom1_voicefixer.wav;189.091125;16000;180;3.7375016;3.9324472;4.42622;3.2676233751942583;3.5048733603711097;4.1444210322355675;3.7846127
