,filename,pathref,room,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS,PESQ,STOI
0,./samples/f10_script5_ipad_office1_5s_n1_PP1.wav,./refs/f10_script5_produced_5s_n1.wav,office,5,16000,1,"3,349267","3,7230532","4,1010423","3,023000549","3,386537218","3,98868845","3,6706142",1.53,0.82
1,./samples/f10_script5_ipad_office1_5s_n1_PP2.wav,./refs/f10_script5_produced_5s_n1.wav,office,5,16000,1,"3,16549","3,5737789","3,7775257","2,899013901","3,295762851","3,803703943","3,5922613",1.51,0.83
2,./samples/f10_script5_ipad_office1_5s_n2_PP1.wav,./refs/f10_script5_produced_5s_n2.wav,office,5,16000,1,"3,0604758","3,8865416","3,230378","2,82611331","3,481661416","3,42812404","3,8671894",1.7,0.89
3,./samples/f10_script5_ipad_office1_5s_n2_PP2.wav,./refs/f10_script5_produced_5s_n2.wav,office,5,16000,1,"2,931177","3,779863","3,1629531","2,734304285","3,420100439","3,376385478","3,843983",1.69,0.89
4,./samples/f10_script5_ipad_office1_5s_n3_PP1.wav,./refs/f10_script5_produced_5s_n3.wav,office,5,16000,1,"3,1763813","3,6942317","3,6362858","2,906489302","3,369302283","3,714300949","3,7793357",1.88,0.85
5,./samples/f10_script5_ipad_office1_5s_n3_PP2.wav,./refs/f10_script5_produced_5s_n3.wav,office,5,16000,1,"3,153924","3,6445022","3,7192733","2,891057988","3,339236489","3,767467495","3,9081564",2.0,0.86
6,./samples/f10_script5_ipad_office1_5s_n4_PP1.wav,./refs/f10_script5_produced_5s_n4.wav,office,5,16000,1,"2,2986805","3,1159878","2,3598697","2,252596498","2,994041338","2,668088998","3,656795",1.65,0.86
7,./samples/f10_script5_ipad_office1_5s_n4_PP2.wav,./refs/f10_script5_produced_5s_n4.wav,office,5,16000,1,"2,1845517","2,7087042","2,4748461","2,159910594","2,696022214","2,779912006","3,590366",1.67,0.86
8,./samples/f10_script5_ipad_office1_5s_n5_PP1.wav,./refs/f10_script5_produced_5s_n5.wav,office,5,16000,1,"2,908899","3,9441724","2,8687527","2,71825737","3,51412326","3,136621789","3,724058",1.59,0.86
9,./samples/f10_script5_ipad_office1_5s_n5_PP2.wav,./refs/f10_script5_produced_5s_n5.wav,office,5,16000,1,"2,8762786","3,404994","3,4128714","2,694639423","3,188616102","3,562155614","3,7089698",1.61,0.86
10,./samples/f10_script5_ipad_office1_voicefixer_5s_n1_FFMPEG.wav,./refs/f10_script5_produced_5s_n1.wav,office,5,16000,1,"3,0079439","3,5322125","3,3708808","2,789085727","3,269820045","3,532092666","3,7794774",1.33,0.83
11,./samples/f10_script5_ipad_office1_voicefixer_5s_n1.wav,./refs/f10_script5_produced_5s_n1.wav,office,5,16000,1,"3,7568316","3,9482663","4,458459","3,281659791","3,516408014","4,16101159","3,7267935",1.54,0.83
12,./samples/f10_script5_ipad_office1_voicefixer_5s_n2_FFMPEG.wav,./refs/f10_script5_produced_5s_n2.wav,office,5,16000,1,"3,0064812","3,4981756","3,4489129","2,788049389","3,248360534","3,587589079","3,885184",1.61,0.88
13,./samples/f10_script5_ipad_office1_voicefixer_5s_n2.wav,./refs/f10_script5_produced_5s_n2.wav,office,5,16000,1,"3,5202708","3,8092246","4,1378336","3,134264579","3,437234709","4,007980039","3,88509",1.7,0.89
14,./samples/f10_script5_ipad_office1_voicefixer_5s_n3_FFMPEG.wav,./refs/f10_script5_produced_5s_n3.wav,office,5,16000,1,"3,8430429","4,0343523","4,402007","3,333493042","3,563799827","4,136031246","3,7555263",1.79,0.86
15,./samples/f10_script5_ipad_office1_voicefixer_5s_n3.wav,./refs/f10_script5_produced_5s_n3.wav,office,5,16000,1,"3,7671857","3,9168694","4,497962","3,287938155","3,498813769","4,177992915","3,8119984",1.98,0.86
16,./samples/f10_script5_ipad_office1_voicefixer_5s_n4_FFMPEG.wav,./refs/f10_script5_produced_5s_n4.wav,office,5,16000,1,"3,1207206","3,5578814","3,5210624","2,868117636","3,285875008","3,637475152","3,6507382",1.48,0.86
17,./samples/f10_script5_ipad_office1_voicefixer_5s_n4.wav,./refs/f10_script5_produced_5s_n4.wav,office,5,16000,1,"3,4334211","3,6733522","4,2190065","3,078250159","3,356729416","4,049282404","3,66806",1.67,0.86
